"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","X","V4","C","","00:00:00:00","00:00:04:01","00:59:53:24","00:59:58:00","Fusion Title","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"2","","","A1","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"3","","","A2","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"4","","","A3","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"5","","","A4","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"6","","","A5","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"7","","","A6","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"8","","","A7","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"9","","","A8","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"10","","","A9","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"11","","","A10","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"12","","","A11","C","","00:00:00:05","00:00:00:06","00:59:58:00","00:59:58:01","Stereo_Programmes_1kHz_GLITS_Lineup 30","","00:00:00:00","00:00:30:00","00:00:30:00","","25.000","","","","",""
"13","","","V2","C","22","00:00:00:15","00:00:02:19","01:00:00:00","01:00:02:11","080428284_main_xl","","00:00:00:00","00:00:13:05","00:00:13:05","H.264","25.000","640x360","","","",""
"M2","","","","","22.0","00:00:00:15","","","","","","","","","","","","","","",""
"14","","","V3","C","8.42552","00:13:17:10","00:13:18:06","01:00:00:00","01:00:02:11","Pont transbordeur (1934)","","00:00:00:00","00:13:20:17","00:13:20:17","H.264","25.000","312x240","Green","","",""
"M2","","","","","8.4","00:13:17:10","","","","","","","","","","","","","","",""
"15","","X","V6","C","","00:00:04:24","00:00:04:24","01:00:00:00","01:00:21:01","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"16","","","A5","C","","00:00:00:09","00:00:02:01","01:00:00:00","01:00:01:17","Stinger-Swell-01","","00:00:00:00","00:00:06:24","00:00:06:24","","25.000","","","","",""
"17","","","A3","C","","00:00:06:10","00:00:22:01","01:00:01:03","01:00:16:19","35-13 Water, Ocean Waves Coming In, Medium","","00:00:00:00","00:02:03:07","00:02:03:07","","25.000","","","","",""
"18","","","A3","D","42","01:00:01:03","01:00:02:20","01:00:01:03","01:00:02:20","Cross Fade 0 dB","","","","","","0.000","","","","",""
"19","","","A4","C","","00:00:12:23","00:00:28:14","01:00:01:03","01:00:16:19","67 Beach,Ambience Beach Atmosphere With Children","","00:00:00:00","00:01:04:17","00:01:04:17","","25.000","","","","",""
"20","","","A4","D","21","01:00:01:03","01:00:01:24","01:00:01:03","01:00:01:24","Cross Fade 0 dB","","","","","","0.000","","","","",""
"21","","","V1","C","","00:05:34:10","00:05:39:16","01:00:02:11","01:00:07:17","Normandie (Le) (1935)","","00:00:00:00","00:14:04:23","00:14:04:23","H.264","25.000","720x576","Green","","",""
"22","","","V1","C","","00:06:05:16","00:06:10:05","01:00:07:17","01:00:12:06","Famille 1934","","00:00:00:00","00:16:03:01","00:16:03:01","H.264","25.000","720x576","","","",""
"23","","X","V4","C","","00:00:00:00","00:00:03:17","01:00:07:17","01:00:12:06","Fusion Title","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"24","","","V4","D","25","01:00:07:17","01:00:08:17","01:00:07:17","01:00:08:17","Cross Dissolve","","","","","","0.000","","","","",""
"25","","X","V5","C","","00:00:00:22","00:00:03:17","01:00:09:11","01:00:12:06","Fusion Title","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
