,#,V,Source In,Source Out,Record In,Record Out,Name,Clip Directory,Duration TC,Frame Rate,Resolution,Video Codec,Audio Codec,Description,Comments,Keywords,Clip Color,Shot,Scene,Take,Flags,Camera #,Date Modified,File Type
1,2,A1,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
2,3,A2,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
3,4,A3,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
4,5,A4,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
5,6,A5,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
6,7,A6,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
7,8,A7,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
8,9,A8,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
9,10,A9,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
10,11,A10,00:00:00:05,00:00:00:06,00:59:58:00,00:59:58:01,Stereo_Programmes_1kHz_GLITS_Lineup 30,/Volumes/RAID1/OPUW/Media/Extra/Divers,00:00:30:00,0.000,,,Linear PCM,,,,,,,,,,Thu Mar 26 20:04:40 2020,wav
12,13,V2,00:00:00:15,00:00:02:19,01:00:00:00,01:00:02:11,080428284_main_xl,/Volumes/RAID1/OPUW/Media/Archives/Pond5,00:00:13:05,25.000,640 x 360,H.264,,,,oeil,Navy,,,Pond5,,,Mon Mar  9 15:23:11 2020,mp4
13,14,V3,00:13:17:10,00:13:18:06,01:00:00:00,01:00:02:11,Pont transbordeur (1934),/Volumes/RAID1/OPUW/Media/Archives/Cinémathèque de Bretagne,00:13:20:17,25.000,312 x 240,H.264,,,,"Normandie,Super-8,Saint-Nazaire,construction",Navy,1934,,Cinémathèque de Bretagne,Green,,Thu Jun 20 16:34:12 2019,mp4
15,16,A5,00:00:00:09,00:00:02:01,01:00:00:00,01:00:01:17,Stinger-Swell-01,/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:06:24,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Nov 27 13:01:30 2017,aif
